project name,AGE,noFiles,LoC,LoCbyFiles,noCommits,noPRs,noMergedPRs,poMergedPRs,noRejectedPRs,poRejectedPRs,ICT,PRT,IPRT,IMPRT,PoMPRTW,MICT,MPRT,MIPRT,MIMPRT,poMMPRTW,noCommiters,noPRsDF,poPRsDF,forks,commitsByPR,commentsByPR,changedFilesByPR,additionsByPR,deletionsByPR,target
jdbi,3635,1315,86562,65.82661596958175,4275,761,563,0.7398160315374507,178,0.23390275952693823,13.138055555555555,17,67.96944444444445,67.74,0.2562729117687752,0.16666666666666666,7,18.87472222222222,14.634444444444444,0.1111111111111111,102,531,69.77660972404732,326,5.76215505913272,3.1156373193166886,14.83574244415243,287.0065703022339,177.12483574244416,NCP
Vanilla,3631,5165,546210,105.75217812197484,20619,4018,2574,0.6406172224987556,1342,0.33399701343952215,3.6269444444444443,12,13.796944444444444,21.53638888888889,0.36188234915593337,0.18416666666666667,0,2.762777777777778,1.6633333333333333,0.3488372093023256,162,3446,85.76406172224988,754,6.593578894972623,0.7533598805375809,8.584370333499253,391.96142359382776,214.87307117969138,CP
rspec-mocks,3623,206,21740,105.53398058252426,3351,732,370,0.505464480874317,348,0.47540983606557374,22.77888888888889,7,104.09916666666666,193.36416666666668,0.3509927837042266,0.4102777777777778,0,38.961666666666666,56.20861111111111,0.3,191,67,9.153005464480875,344,2.1038251366120218,3.710382513661202,4.954918032786885,62.64890710382514,25.94672131147541,NCP
nanoc,3605,682,44888,65.81818181818181,6226,842,483,0.5736342042755345,348,0.41330166270783847,16.043333333333333,8,89.38472222222222,153.6863888888889,0.29865364987754484,0.08138888888888889,0,23.150833333333335,21.454722222222223,0.18181818181818182,101,1,0.11876484560570072,261,9.953681710213777,1.9097387173396674,8.823040380047505,96.58669833729216,62.663895486935864,CP
progit,3595,343,407149,1187.0233236151603,2000,795,519,0.6528301886792452,270,0.33962264150943394,42.45777777777778,39,94.69833333333334,113.42138888888888,0.10175310904341697,3.388888888888889,0,24.899444444444445,2.418888888888889,0.0,434,791,99.49685534591195,2472,3.460377358490566,1.1761006289308176,3.9182389937106916,540.3635220125786,153.4427672955975,NCP
middleman,3595,880,34867,39.62159090909091,2747,715,409,0.5720279720279721,286,0.4,27.5675,17,105.7775,179.89944444444444,0.2700144238006937,1.5025,0,36.6075,47.39888888888889,0.125,254,0,0.0,757,6.362237762237762,3.202797202797203,14.88951048951049,195.15524475524475,364.2055944055944,NCP
vowpal_wabbit,3591,1388,164904,118.80691642651297,4166,984,489,0.4969512195121951,470,0.47764227642276424,16.95277777777778,7,71.78333333333333,144.29694444444445,0.35503030764316784,1.4225,0,26.151944444444446,27.343055555555555,0.3,254,980,99.59349593495935,1852,8.751016260162602,3.516260162601626,10.56910569105691,1655.2581300813008,661.7581300813008,CP
resque,3579,96,8779,91.44791666666667,1306,863,362,0.41946697566628044,479,0.5550405561993047,58.64666666666667,68,88.61361111111111,190.3175,0.10765980702441601,6.620277777777778,0,27.4425,16.264166666666668,0.0,429,674,78.09965237543453,1674,4.870220162224797,3.768250289687138,3.409038238702202,71.65353418308227,42.67555040556199,CP
nette,3578,7,181,25.857142857142858,4996,896,364,0.40625,517,0.5770089285714286,22.970277777777778,59,82.44416666666666,119.5213888888889,0.05277356547453477,0.04611111111111111,7,18.452222222222222,15.686388888888889,0.0,189,876,97.76785714285714,242,1.8850446428571428,4.209821428571429,7.5234375,74.53236607142857,233.25111607142858,NCP
tornado,3551,267,34355,128.67041198501872,1962,750,327,0.436,393,0.524,38.28638888888889,99,100.15722222222222,129.74277777777777,0.08069925697444531,3.203611111111111,207,32.48111111111111,15.251944444444444,0.0,352,713,95.06666666666666,5487,2.474666666666667,1.9626666666666666,3.7226666666666666,63.67466666666667,37.732,NCP
gradle,3551,20260,1440140,71.08292201382034,87050,4937,3621,0.7334413611504963,1141,0.2311120113429208,1.13,17,15.484722222222222,20.763055555555557,0.18779717528763307,0.115,25,2.858611111111111,2.7558333333333334,0.06666666666666667,702,3932,79.64350820336237,3853,7.621024913915333,2.282560259266761,21.73951792586591,654.52298966984,173.55053676321654,CP
SDWebImage,3539,259,26546,102.4942084942085,2019,868,394,0.4539170506912442,454,0.5230414746543779,32.890277777777776,68,76.50416666666666,164.29111111111112,0.11525575138201045,4.285833333333334,0,34.00861111111111,33.73833333333333,0.0196078431372549,463,730,84.10138248847926,5882,4.565668202764977,3.2661290322580645,4.897465437788019,649.241935483871,185.22350230414747,CP
nit,3524,3348,1202591,359.1968339307049,4438,968,577,0.5960743801652892,348,0.359504132231405,10.22638888888889,11,37.304722222222225,56.435,0.2633161530777658,0.15611111111111112,321,5.440833333333333,0.0002777777777777778,0.23529411764705882,22,968,100.0,64,4.277892561983471,2.378099173553719,10.709710743801653,1496.1993801652893,1278.0402892561983,CP
Twig,3523,464,22149,47.734913793103445,3109,788,402,0.5101522842639594,366,0.46446700507614214,27.191666666666666,51,76.32527777777779,99.10833333333333,0.07140757013923131,0.24888888888888888,9,18.99416666666667,8.22861111111111,0.0,288,20,2.5380710659898478,1207,2.8591370558375635,2.8769035532994924,11.288071065989847,111.98857868020305,120.3248730964467,NCP
uncrustify,3513,3040,142928,47.01578947368421,2443,983,839,0.8535096642929807,121,0.12309257375381485,25.289722222222224,16,62.79972222222222,34.29,0.25501077216655516,1.5055555555555555,1,19.32638888888889,5.565277777777778,0.0,88,982,99.89827060020346,552,5.341810783316379,1.4486266531027467,12.97151576805697,364.82197355035606,406.71617497456765,CP
octopress,3512,95,3734,39.305263157894736,1620,795,225,0.2830188679245283,482,0.6062893081761006,39.19888888888889,70,69.86722222222222,139.77388888888888,0.04269645220773848,2.613888888888889,0,21.061944444444446,23.7775,0.0,464,563,70.81761006289308,2687,11.0062893081761,2.4276729559748427,15.631446540880503,688.017610062893,69.00628930817611,NCP
underscore,3505,366,137152,374.73224043715845,1942,901,198,0.21975582685904552,637,0.7069922308546059,36.0725,16,77.75027777777778,218.82222222222222,0.07094281658022057,2.0530555555555554,0,18.220833333333335,33.126111111111115,0.0,420,892,99.00110987791344,5609,1.6459489456159822,3.7824639289678137,1.7314095449500555,54.68146503884573,31.83351831298557,NCP
Quicksilver,3497,816,91088,111.62745098039215,3575,808,553,0.6844059405940595,235,0.2908415841584158,28.315555555555555,38,90.00222222222223,130.09472222222223,0.1561557344318152,0.3411111111111111,0,26.017222222222223,23.74888888888889,0.058823529411764705,41,4,0.49504950495049505,296,4.680693069306931,6.451732673267327,7.915841584158416,246.92079207920793,313.56064356435644,CP
padrino-framework,3481,568,36582,64.40492957746478,4162,834,509,0.6103117505995204,312,0.37410071942446044,19.785,9,90.46333333333334,148.20055555555555,0.2662896020265035,0.8,0,27.171944444444446,22.924444444444443,0.16666666666666666,240,817,97.96163069544365,513,3.45083932853717,2.2961630695443644,6.567146282973621,313.6726618705036,123.44844124700239,NCP
gunicorn,3469,205,12823,62.551219512195125,2398,779,297,0.38125802310654683,440,0.5648267008985879,31.95916666666667,41,98.36138888888888,245.2097222222222,0.09086742186892324,1.4077777777777778,0,53.59305555555556,87.29666666666667,0.0,409,770,98.84467265725289,1656,2.1245186136071887,4.173299101412066,3.089858793324775,47.81514762516046,47.09756097560975,NCP
platform,3467,8823,626729,71.03354867958744,23460,1724,1478,0.857308584686775,202,0.11716937354988399,0.6513888888888889,1,8.857777777777779,10.1975,0.7238929720185284,0.025555555555555557,0,1.3541666666666667,1.7880555555555555,0.7676767676767676,14,135,7.830626450116009,275,1.3706496519721578,0.03538283062645012,16.959976798143853,1009.4715777262181,136.08410672853827,NCP
jsPDF,3463,350,320383,915.38,2106,819,353,0.43101343101343104,444,0.5421245421245421,36.430277777777775,82,93.08833333333334,181.33138888888888,0.1429565418564895,0.9494444444444444,104,14.085,5.9911111111111115,0.0,194,803,98.04639804639804,4474,4.065934065934066,1.2454212454212454,7.4774114774114775,958.0695970695971,708.9072039072039,CP
rspec-rails,3446,283,17510,61.87279151943463,3226,831,343,0.4127557160048135,458,0.5511432009626955,23.70611111111111,20,92.02944444444444,207.1472222222222,0.19148189873800553,0.6233333333333333,0,43.93333333333334,81.45694444444445,0.1111111111111111,372,46,5.535499398315283,994,5.682310469314079,3.7557160048134777,4.635379061371841,76.83273164861613,25.23586040914561,CP
mediathread,3432,2226,430725,193.49730458221023,6024,1958,1377,0.7032686414708886,545,0.2783452502553626,10.879722222222222,1,33.39388888888889,47.05666666666667,0.5582917027119091,0.8191666666666667,0,7.552777777777778,4.598611111111111,0.7333333333333333,45,1783,91.06230847803882,33,2.469867211440245,0.1041879468845761,5.655771195097038,312.70786516853934,196.2773237997957,CP
znc,3429,1109,136655,123.22362488728584,4502,744,273,0.36693548387096775,439,0.5900537634408602,28.745,43,97.62027777777777,266.0563888888889,0.12206397286263707,1.826111111111111,42,32.38861111111111,72.92722222222223,0.02,215,697,93.68279569892472,388,2.217741935483871,2.8736559139784945,7.483870967741935,228.16666666666666,118.99596774193549,NCP
tinymce,3427,4133,312936,75.71642874425356,6281,844,183,0.21682464454976302,633,0.75,13.505555555555556,104,90.11083333333333,409.8019444444444,0.032905303665413714,0.9155555555555556,29,46.00472222222223,47.99944444444445,0.0,511,0,0.0,2058,2.0260663507109005,1.6078199052132702,8.123222748815166,1765.579383886256,447.19668246445497,CP
INTER-Mediator,3424,643,146104,227.22239502332815,2207,958,708,0.7390396659707724,239,0.24947807933194155,17.380555555555556,0,39.912222222222226,53.7625,0.6725484405068677,2.6466666666666665,0,13.391111111111112,13.721111111111112,0.9,5,829,86.53444676409185,10,4.0,0.09603340292275574,11.419624217118997,651.9885177453027,528.3851774530272,CP
review,3422,324,75433,232.8179012345679,3127,770,510,0.6623376623376623,245,0.3181818181818182,26.25722222222222,19,99.5375,150.0575,0.2300316586427649,0.7594444444444445,11,15.207777777777778,17.818055555555556,0.11764705882352941,68,747,97.01298701298701,216,2.77012987012987,1.8428571428571427,3.742857142857143,176.64155844155843,40.114285714285714,NCP
jsdom,3419,709,812106,1145.4245416078984,4055,810,327,0.40370370370370373,458,0.5654320987654321,15.956666666666667,18,79.85972222222222,197.86166666666668,0.16968062215393243,0.04972222222222222,0,42.94722222222222,8.421666666666667,0.0,335,803,99.1358024691358,1605,2.876543209876543,3.3160493827160495,5.714814814814815,1304.2234567901235,571.732098765432,CP
html5-boilerplate,3414,42,13526,322.04761904761904,2163,964,289,0.29979253112033194,668,0.6929460580912863,36.97638888888889,16,79.21583333333334,261.49083333333334,0.14158472320968316,4.774444444444445,0,34.433055555555555,50.54555555555555,0.0,527,0,0.0,12167,2.1701244813278007,3.2064315352697097,2.9159751037344397,190.44709543568464,94.31327800829875,CP
AutoMapper,3401,556,52077,93.6636690647482,2857,726,346,0.4765840220385675,368,0.5068870523415978,27.611944444444443,33,103.78777777777778,211.18277777777777,0.1820286149133313,1.7227777777777777,2,44.01722222222222,23.058333333333334,0.0,216,461,63.498622589531685,1714,3.3264462809917354,3.446280991735537,10.938016528925619,635.4256198347107,547.6969696969697,NCP
less.js,3387,604,80168,132.72847682119206,1928,815,230,0.2822085889570552,577,0.7079754601226994,39.09305555555555,77,92.48305555555555,298.3511111111111,0.05706511566296503,4.1225,2,39.096111111111114,38.42305555555556,0.0,362,725,88.95705521472392,3465,8.625766871165645,3.7337423312883438,7.559509202453988,355.8331288343558,973.0,CP
Sick-Beard,3363,412,88196,214.06796116504853,1834,982,300,0.3054989816700611,536,0.5458248472505092,36.38861111111111,74,67.96027777777778,119.27555555555556,0.036580605794196065,7.4447222222222225,193,24.76222222222222,14.0525,0.0,435,458,46.63951120162933,1562,13.260692464358453,2.9979633401221997,15.690427698574338,1908.6415478615072,422.5753564154786,CP
flask,3342,209,18768,89.79904306220095,1536,727,445,0.6121045392022009,260,0.3576341127922971,34.27027777777778,43,70.0213888888889,62.29138888888889,0.15009327687769186,1.7005555555555556,1,21.441944444444445,16.0675,0.0,455,65,8.940852819807429,15695,5.203576341127923,2.5226960110041263,3.1045392022008254,74.45942228335626,32.69050894085282,NCP
mongoose,3342,662,125310,189.29003021148037,6056,799,486,0.6082603254067585,295,0.3692115143929912,8.639444444444445,14,82.93166666666667,81.91444444444444,0.2607189063616287,0.38305555555555554,10,26.699444444444445,27.62,0.125,397,713,89.23654568210263,3716,3.160200250312891,1.553191489361702,5.971214017521902,166.22152690863578,216.2090112640801,CP
openstreetmap-website,3317,1278,534967,418.59702660406884,6509,979,354,0.3615934627170582,566,0.5781409601634321,17.288888888888888,49,77.57194444444444,209.97972222222222,0.090802464825173,1.6827777777777777,0,25.725555555555555,24.49277777777778,0.0,258,978,99.89785495403473,833,6.06435137895812,3.8386108273748722,13.45658835546476,2608.1246169560777,1766.6802860061287,CP
sgn,3315,2408,1014125,421.1482558139535,14623,823,743,0.9027946537059538,54,0.06561360874848117,5.405,4,91.54805555555555,100.98583333333333,0.5108029383808614,0.4572222222222222,4,18.09861111111111,14.258888888888889,0.6666666666666666,64,820,99.63547995139733,37,9.482381530984204,0.30133657351154314,8.030376670716889,797.1348724179829,310.3487241798299,CP
cakephp,3310,1593,199093,124.97991211550534,37145,7816,4066,0.52021494370522,3615,0.4625127942681679,3.3119444444444444,7,9.795277777777779,18.253333333333334,0.33412014286670905,0.5794444444444444,0,4.9425,7.576944444444444,0.34146341463414637,1023,365,4.669907881269191,3473,23.309365404298873,3.3419907881269193,15.521366427840327,829.9599539406346,784.9113357215967,CP
github-services,3304,273,15112,55.35531135531136,2289,929,579,0.6232508073196986,338,0.3638320775026911,41.20222222222222,15,78.74,126.33888888888889,0.2736537427966093,2.466111111111111,68,34.686388888888885,5.0825,0.1875,545,909,97.84714747039828,1436,6.708288482238967,2.3261571582346607,6.867599569429494,161.02260495156082,173.55328310010765,CP
graylog2-server,3301,8187,588329,71.86136557957738,17581,2045,1466,0.7168704156479218,509,0.24889975550122248,4.3575,9,37.46361111111111,49.385,0.2746501737150037,0.14305555555555555,0,4.658888888888889,3.096388888888889,0.14285714285714285,137,1528,74.71882640586797,958,5.742298288508557,1.114914425427873,11.41075794621027,302.9158924205379,138.60097799511001,CP
mezzanine,3289,751,110609,147.28229027962718,3263,916,526,0.574235807860262,366,0.39956331877729256,22.658055555555556,10,80.93138888888889,134.17305555555555,0.3193207155053816,1.7055555555555555,0,34.0725,39.42472222222222,0.2857142857142857,347,905,98.7991266375546,1626,5.111353711790393,2.3657205240174672,7.597161572052402,370.32860262008734,125.31331877729258,CP
highcharts,3276,8206,1483248,180.75164513770412,12246,1293,1072,0.8290796597061099,184,0.1423047177107502,4.570277777777778,67,43.28861111111111,24.543055555555554,0.14572298691052477,0.21638888888888888,11,2.1475,0.1238888888888889,0.0,180,1246,96.36504253673627,3009,5.125290023201856,0.5328692962103635,8.539829853054911,716.924207269915,252.39675174013922,CP
jedis,3276,591,72644,122.917089678511,2434,834,325,0.38968824940047964,443,0.5311750599520384,31.443333333333335,93,91.83555555555556,230.30777777777777,0.06640071567147907,0.5188888888888888,3,33.92444444444445,12.35361111111111,0.0,324,778,93.28537170263789,3743,7.247002398081535,4.344124700239808,8.731414868105515,833.2302158273382,522.3872901678657,CP
ezpublish-legacy,3276,4978,1538501,309.0600642828445,2408,904,347,0.3838495575221239,417,0.461283185840708,31.643333333333334,52,74.35972222222222,157.70694444444445,0.07061488163237335,2.370833333333333,16,23.680833333333332,40.82722222222222,0.0,141,2,0.22123893805309736,243,2.2942477876106193,5.152654867256637,18.120575221238937,432.25,675.0862831858407,CP
oq-engine,3259,5474,2295409,419.3293752283522,27531,3909,3161,0.8086467127142491,685,0.1752366334100793,2.8205555555555555,2,18.75027777777778,23.171388888888888,0.5996555633626214,0.32083333333333336,1,5.078888888888889,3.3269444444444445,0.76,74,3725,95.29291378869276,213,11.33717063187516,1.0706062931696085,11.296495267331798,1881.0335124072653,1687.9114863136351,CP
testng,3259,2445,106492,43.55501022494887,3158,835,505,0.6047904191616766,301,0.36047904191616764,35.617777777777775,43,91.75666666666666,150.545,0.2370907489748707,3.830277777777778,0,35.19694444444444,43.06805555555556,0.14285714285714285,234,834,99.88023952095809,975,2.1233532934131736,2.511377245508982,10.0,158.24790419161675,106.99281437125748,CP
symphony-2,3240,329,55509,168.72036474164133,5021,941,547,0.5812964930924548,386,0.410201912858661,18.577222222222222,15,79.04638888888888,135.07194444444445,0.2581163160377364,0.5638888888888889,0,25.108055555555556,27.34111111111111,0.16666666666666666,111,80,8.501594048884167,211,9.802337938363443,3.0860786397449522,6.667375132837407,431.33687566418706,258.5972369819341,CP
ITK,3230,11840,1850885,156.3247466216216,5608,773,556,0.7192755498059509,177,0.22897800776196636,10.248333333333333,7,74.33777777777777,35.655833333333334,0.11972818803080323,1.6894444444444445,0,2.667777777777778,2.9627777777777777,0.0,144,656,84.86416558861578,614,3.7076326002587323,2.6351875808538163,25.108667529107375,794.6054333764554,574.5239327296248,NCP
errbit,3222,343,15392,44.87463556851312,2267,809,454,0.5611866501854141,333,0.411619283065513,33.757777777777775,48,94.59944444444444,158.37194444444444,0.188742192362934,2.0480555555555555,1596,37.27055555555555,42.846111111111114,0.05263157894736842,345,7,0.865265760197775,1001,3.6625463535228677,3.203955500618047,8.077873918417799,91.00247218788628,53.016069221260814,CP
evolution,3222,4389,453041,103.22191843244475,2916,726,377,0.5192837465564738,343,0.4724517906336088,27.571944444444444,102,97.5675,180.34472222222223,0.16511099513609703,0.32805555555555554,1,12.391388888888889,5.211388888888889,0.0,89,85,11.707988980716253,242,19.674931129476583,0.7107438016528925,39.92424242424242,1645.65564738292,1485.7644628099174,NCP
karaf,3214,2269,183300,80.78448655795505,10935,844,480,0.5687203791469194,337,0.39928909952606634,9.22638888888889,34,76.03361111111111,68.32333333333334,0.1605755393209096,0.7625,0,18.75,12.426666666666666,0.0,212,0,0.0,646,6.355450236966824,1.2725118483412323,10.838862559241706,397.09597156398104,132.26184834123222,CP
brakeman,3199,935,56583,60.51657754010695,3354,809,533,0.6588380716934487,262,0.3238566131025958,20.6575,8,85.38055555555556,125.45111111111112,0.3837865114216267,1.011388888888889,3,39.5475,32.14611111111111,0.4,136,0,0.0,728,2.6662546353522867,1.4870210135970334,5.506798516687268,86.16316440049444,34.133498145859086,CP
opentsdb,3199,472,117315,248.54872881355934,2810,715,132,0.18461538461538463,553,0.7734265734265734,27.286666666666665,61,100.98472222222222,465.82,0.0368455056003321,1.0325,50,28.135833333333334,22.846666666666668,0.0,234,208,29.09090909090909,1260,9.745454545454546,1.8783216783216783,19.86993006993007,2665.383216783217,636.2727272727273,NCP
sentry,3196,10576,1915930,181.15828290468986,62501,9518,7844,0.8241227148560621,1383,0.14530363521748266,1.226388888888889,12,8.054166666666667,9.771944444444445,0.3423444667346023,0.06055555555555556,0,0.7925,0.6161111111111112,0.3380281690140845,564,9431,99.08594242487918,3457,2.8786509770960285,1.1607480563143517,6.120193317923934,264.436541290187,128.82990123975625,CP
DoctrineExtensions,3192,849,54136,63.764428739693756,1176,826,496,0.6004842615012107,265,0.32082324455205813,61.49388888888889,59,89.87,149.66166666666666,0.25258126832675043,20.43166666666667,1,48.280277777777776,53.878055555555555,0.08,517,1,0.12106537530266344,1261,4.857142857142857,2.4552058111380144,9.225181598062955,280.0653753026634,163.21549636803874,CP
retrofit,3189,377,30511,80.93103448275862,2441,912,453,0.4967105263157895,438,0.48026315789473684,29.111944444444443,12,77.91972222222222,153.79916666666668,0.30754848173384375,0.9138888888888889,0,27.221666666666668,39.93222222222222,0.2222222222222222,287,894,98.02631578947368,7246,2.2214912280701755,1.9013157894736843,5.75,144.03728070175438,63.38267543859649,NCP
OSClass,3187,1005,126500,125.87064676616916,6028,751,373,0.4966711051930759,345,0.459387483355526,12.4025,47,95.00166666666667,170.09972222222223,0.14919495799489849,0.2761111111111111,63,7.525277777777778,2.8472222222222223,0.0,76,132,17.576564580559253,349,8.201065246338215,0.9653794940079894,14.463382157123835,662.9334221038615,681.0239680426099,NCP
sproutcore,3176,1170,139989,119.64871794871794,7081,725,228,0.31448275862068964,445,0.6137931034482759,13.245555555555555,68,100.67138888888888,322.9063888888889,0.04308919927597679,0.6266666666666667,0,23.963333333333335,42.87138888888889,0.0,287,704,97.10344827586206,303,9.122758620689655,2.682758620689655,10.504827586206897,414.25241379310347,259.36827586206897,NCP
Slim,3174,140,11214,80.1,1967,814,331,0.40663390663390664,470,0.5773955773955773,26.665277777777778,23,67.13388888888889,111.92277777777778,0.12248626750307598,1.0811111111111111,0,18.20861111111111,4.566388888888889,0.0,276,141,17.32186732186732,1949,8.453316953316953,3.5147420147420148,5.186732186732187,188.17321867321868,118.38452088452088,CP
jbpm,3173,4287,496668,115.85444366689993,1520,718,622,0.8662952646239555,77,0.10724233983286909,17.851666666666667,6,27.433611111111112,30.89888888888889,0.5810754743049106,3.336388888888889,2,14.156666666666666,12.481388888888889,0.6,82,0,0.0,1172,1.5083565459610029,3.034818941504178,13.164345403899722,331.26880222841226,106.28272980501393,NCP
Validation,3173,1316,42967,32.64969604863222,2469,771,282,0.3657587548638132,483,0.6264591439688716,28.907222222222224,23,92.1425,250.30666666666667,0.13916493044953246,0.05277777777777778,143,15.785,26.54611111111111,0.0,194,603,78.21011673151752,772,2.683527885862516,1.4773022049286642,19.63294422827497,238.74059662775616,177.3164721141375,NCP
cde,3173,1764,254567,144.31235827664398,3400,902,429,0.47560975609756095,449,0.4977827050997783,19.671944444444446,2,74.12722222222222,150.1538888888889,0.34956620562621266,0.9697222222222223,0,16.82027777777778,23.926111111111112,0.18181818181818182,88,676,74.94456762749445,111,3.3248337028824833,1.1319290465631928,22.98891352549889,1845.4456762749446,850.4866962305987,NCP
backbone,3165,48,39770,828.5416666666666,1479,702,123,0.1752136752136752,533,0.7592592592592593,44.38361111111111,25,101.56388888888888,424.7761111111111,0.04729746200044555,3.515833333333333,139,23.29,95.15333333333334,0.0,377,689,98.14814814814815,5540,2.1923076923076925,4.277777777777778,2.2236467236467234,121.0982905982906,110.04558404558405,NCP
expertiza,3160,1591,88854,55.847894406033944,7051,878,243,0.2767653758542141,548,0.6241457858769932,14.929444444444444,40,75.04055555555556,269.8677777777778,0.07648297034952911,0.7155555555555555,0,5.183333333333334,37.661944444444444,0.0,670,0,0.0,1219,52.11503416856492,4.099088838268793,140.06719817767654,13102.559225512528,861.8906605922551,CP
django-allauth,3155,914,57092,62.46389496717724,2435,932,436,0.4678111587982833,443,0.47532188841201717,29.72138888888889,17,77.65222222222222,165.58972222222224,0.24901552688354714,3.2941666666666665,200,34.92666666666666,25.744444444444444,0.1794871794871795,593,914,98.068669527897,2753,2.1319742489270386,2.5375536480686693,3.5954935622317596,81.89484978540773,26.25429184549356,CP
