project_id,tw quantity,pc quantity,tw with pc quantity,tw_with_pc_percentage,cr_improvement_percentage_max,cr_improvement_percentage_mean,cr_improvement_percentage_min,cr_improvement_percentage_std,ipe_improvement_percentage_max,ipe_improvement_percentage_mean,ipe_improvement_percentage_min,ipe_improvement_percentage_std,tw_equal_cr_quantity,tw_improves_cr_quantity,tw_improves_cr_percentage,tw_equal_cr_percentage,tw_equal_ipe_quantity,tw_improves_ipe_quantity,tw_worsen_ipe_quantity,tw_improves_ipe_percentage,tw_equal_ipe_percentage,tw_improves_worsen_percentage
147,111,16,4,3.6,100,25,0,50,348.72,110.57,0,163.24,3,1,25,75,1,3,0,75,25,0
21,199,403,7,3.52,1900,485.71,0,738.08,650,148.59,4.41,227.41,3,4,57.14285714,42.85714286,0,7,0,100,0,0
414,57,14,2,3.51,200,100,0,141.42,200,154.08,108.16,64.94,1,1,50,50,0,2,0,100,0,0
549,115,24,4,3.48,300,100,0,141.42,633.33,178.39,16.67,303.49,2,2,50,50,0,4,0,100,0,0
502,145,16,5,3.45,100,20,0,44.72,1600,615.56,22.22,732.98,4,1,20,80,0,5,0,100,0,0
617,87,12,3,3.45,0,0,0,0,400,161.11,33.33,207.05,3,0,0,100,0,3,0,100,0,0
171,87,10,3,3.45,100,50,0,50,500,195.96,33.33,263.52,1,2,66.66666667,33.33333333,0,3,0,100,0,0
503,146,30,5,3.42,300,120,0,109.54,136.36,39.39,-3.45,55.57,1,4,80,20,0,4,1,80,0,20
892,88,58,3,3.41,100,33.33,0,57.74,13.51,4.5,0,7.8,2,1,33.33333333,66.66666667,2,1,0,33.33333333,66.66666667,0
781,148,106,5,3.38,200,40,0,89.44,200,140,0,83,4,1,20,80,1,4,0,80,20,0
469,148,46,5,3.38,700,180,0,303.32,77.78,42.86,0,36.56,3,2,40,60,1,4,0,80,20,0
707,208,472,7,3.37,100,14.29,0,37.8,450,139.9,0,198.35,6,1,14.28571429,85.71428571,2,5,0,71.42857143,28.57142857,0
835,119,20,4,3.36,100,25,0,50,200,102.71,5.26,88.36,3,1,25,75,0,4,0,100,0,0
688,211,118,7,3.32,200,71.43,0,75.59,50,22.68,0,18.38,3,4,57.14285714,42.85714286,1,6,0,85.71428571,14.28571429,0
523,121,22,4,3.31,100,25,0,50,100,52.29,6.67,49.54,3,1,25,75,0,4,0,100,0,0
450,182,248,6,3.3,50,8.33,0,20.41,100,51.6,0,38.72,5,1,16.66666667,83.33333333,1,5,0,83.33333333,16.66666667,0
829,123,10,4,3.25,0,0,0,0,200,129.17,66.67,58.33,4,0,0,100,0,4,0,100,0,0
1021,31,10,1,3.23,0,0,0,0,0,0,0,0,0,1,100,0,0,1,0,100,0,0
483,156,159,5,3.21,200,60,0,89.44,3600,803.8,31.25,1563.95,3,2,40,60,0,5,0,100,0,0
773,125,122,4,3.2,100,25,0,50,300,99.57,0,137.69,3,1,25,75,1,3,0,75,25,0
130,125,8,4,3.2,0,0,0,0,400,132.78,0,186.19,4,0,0,100,1,3,0,75,25,0
182,95,5,3,3.16,100,33.33,0,57.74,376.92,211.14,68.75,155.41,2,1,33.33333333,66.66666667,0,3,0,100,0,0
978,32,8,1,3.13,0,0,0,0,0,0,0,0,1,0,0,100,0,1,0,100,0,0
456,162,30,5,3.09,200,60,0,89.44,825,349.76,0,346.67,3,2,40,60,1,4,0,80,20,0
246,65,3,2,3.08,100,50,0,70.71,294.74,194.99,95.24,141.07,1,1,50,50,0,2,0,100,0,0
698,228,48,7,3.07,100,42.86,0,53.45,60,14.65,-14.29,25.71,4,3,42.85714286,57.14285714,3,3,1,42.85714286,42.85714286,14.28571429
694,228,36,7,3.07,100,42.86,0,53.45,200,62.76,0,76.21,4,3,42.85714286,57.14285714,1,6,0,85.71428571,14.28571429,0
160,98,14,3,3.06,100,33.33,0,57.74,205.95,90.72,15.38,101.36,2,1,33.33333333,66.66666667,0,3,0,100,0,0
588,98,8,3,3.06,100,33.33,0,57.74,188.89,85.19,0,95.8,2,1,33.33333333,66.66666667,1,2,0,66.66666667,33.33333333,0
701,98,6,3,3.06,0,0,0,0,533.33,255.55,33.33,254.59,3,0,0,100,0,3,0,100,0,0
